rank,market_rank,name,symbol,address,decimals,market_cap_usd
1,3,Tether,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,18,189794197605
2,4,BNB,BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52,18,92380106467
3,6,USDC,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,18,76574828062
4,-,Lido Staked Ether,STETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18,19773126253
5,11,WhiteBIT Coin,WBT,0x925206b8a707096ed26ae47c84747fe0bb734f59,18,12580868068
6,12,USDS,USDS,0xdc035d45d973e3ec169d2276ddab16f1e407384f,18,11013045894
7,-,Wrapped Bitcoin,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,18,9439258125
8,15,LEO Token,LEO,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,18,9378119968
9,18,Chainlink,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18,7519783225
10,21,Toncoin,TON,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,18,5615037042
11,-,WETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,4827726876
12,25,USD1,USD1,0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,18,4475277566
13,26,Dai,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18,4392046695
14,29,Ethena USDe,USDE,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,18,4218492705
15,31,Shiba Inu,SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18,3698402180
16,33,PayPal USD,PYUSD,0x6c3ea9036406852006290770bedfcaba0e23a0e8,18,3483720323
17,34,Global Dollar,USDG,0xe343167631d89b6ffc58b88d6b7fb0228795491d,18,3340300357
18,35,Cronos,CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,18,3286207915
19,36,Circle USYC,USYC,0x136471a34f6ef19fe571effc1ca711fdb8e49f2b,18,2988648549
20,38,Tether Gold,XAUT,0x68749665ff8d2d112fa859aa293f07a622782f38,18,2703553656
21,39,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,0x7712c34205737192402172409a8f7ccef8aa2aec,18,2449282086
22,40,Uniswap,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18,2363901263
23,41,Mantle,MNT,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,18,2258309866
24,42,Polkadot,DOT,0x8d010bf9c26881788b4e6bf5fd1bdc358c8f90b8,18,2249292982
25,43,World Liberty Financial,WLFI,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,18,2150226682
26,44,PAX Gold,PAXG,0x45804880de22913dafe09f4980848ece6ecbaf78,18,2145186834
27,46,Ondo US Dollar Yield,USDY,0x96f6ef951840721adbf46ac996b59e0235cb985c,18,1892695653
28,47,Ondo,ONDO,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,18,1843172886
29,48,OKB,OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,18,1800053811
30,49,Falcon USD,USDF,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,18,1782348452
31,51,HTX DAO,HTX,0x61ec85ab89377db65762e234c946b5c25a56e99e,18,1778096639
32,53,Pepe,PEPE,0x6982508145454ce325ddbe47a25d4ec3d2311933,18,1696842832
33,54,Sky,SKY,0x56072c95faa701256059aa122697b133aded9279,18,1685110463
34,55,Ripple USD,RLUSD,0x8292bb45bf1ee4d140127049757c2e0ff06317ed,18,1564718530
35,56,Internet Computer,ICP,0x00f3c42833c3170159af4e92dbb451fb3f708917,18,1491600240
36,57,USDD,USDD,0x4f8e5de400de08b164e7421b3ee387f461becd1a,18,1470314091
37,58,Aave,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18,1466449695
38,60,Bitget Token,BGB,0x54d2252757e1672eead234d27b1270728ff90581,18,1449663694
39,62,Morpho,MORPHO,0x58d97b57bb95320f9a05dc918aef65434969c2b2,18,1235231058
40,63,Quant,QNT,0x4a220e6096b25eadb88358cb44068a3248254675,18,1133500726
41,65,Janus Henderson Anemoy Treasury Fund,JTRSY,0x8c213ee79581ff4984583c6a801e5263418c4b86,18,1088446705
42,66,Ethena,ENA,0x57e114b691db790c35207b2e685d4a43181e6061,18,1072707717
43,68,United Stables,U,0xce24439f2d9c6a2289f741120fe202248b666666,18,1027485438
44,71,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,0x43415eb6ff9db7e26a15b704e7a3edce97d31c4e,18,1004940921
45,72,POL (ex-MATIC),POL,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,18,997721469
